id,name,description,image,type,damage_type,passive_effect,dlc
ammo_0,Piquebone Arrow (Fletched),"Arrow whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item. The fletching adds distance to the arrow's flight.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_arrow_(fletched)_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Arrow,Pierce,,1
ammo_1,Piquebone Arrow,"Arrow whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_arrow_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Arrow,Pierce,,1
ammo_2,Igon's Harpoon,Great arrow that bristles with sharp gravel stone pieces. Has an anti-dragon effect. The broken drake warrior Igon made these one by one in the midst of his agonyso that Bayle the Dread himself would know fear.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_harpoon_great_arrow_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Greatarrow,Pierce,,1
ammo_3,Piquebone Bolt,"Bolt whittled from animal bones. The tip is soaked in putrescence. Releases a white smoke at the point of impact, luring in foes of human build who are not in combat, and drawing their aggression. Effective on demi-humans even if they are already in a combat state. Craftable item.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/piquebone_bolt_bolt_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Bolt,Pierce,,1
ammo_4,Rabbath's Greatbolt,"Greatbolt tipped with a clump of glintstone shards. One of Spellmachinist Rabbath's innovative designs. Detonates a large explosion on impact, dealing magic damage.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rabbaths_greatbolt_great_bolt_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Greatbolt,Pierce,,1
ammo_5,Firebone Arrow,Arrow whittled from animal bones. The tip is set alight before firing. Deals fire damage. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/firebone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_6,Firebone Arrow (Fletched),Arrow whittled from animal bones. The tip is set alight before firing. Deals fire damage. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/firebone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_7,Bone Arrow,"Arrow whittled from thin animal bones. Craftable item. Though the arrowhead is sharp indeed, it doesn't fly particularly true.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_8,Bone Arrow (Fletched),Arrow whittled from thin animal bones. Craftable item. The feather fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_9,Poisonbone Arrow,Arrow whittled from animal bones. The tip is daubed with venom. Afflicts targets with poison. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Causes Poison buildup (60),0
ammo_10,Poisonbone Arrow (Fletched),Arrow whittled from animal bones. The tip is daubed with venom. Afflicts targets with poison. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonbone_arrow__fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Confers Poison status ailment,0
ammo_11,St. Trina's Arrow,Arrow carved to resemble a withered water lily. Afflicts targetswith a powerful sleep effect. Priests of St. Trina use these arrows to spread their teachings. The sweet oblivion of sleep can become quite the habit.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/st_trinas__arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Causes sleep buildup (96),0
ammo_12,Sleepbone Arrow (Fletched),Arrow whittled from animal bones. The tip is daubed with a water lily tincture. Afflicts targets with sleep. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sleepbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Confers Sleep status ailment (84),0
ammo_13,Arrow,"Arrows used with small and long bows. Unremarkable in any way, shape or form.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/arrow_arrows_and_bolts_elden_ring_wiki_guide_200p.png,Arrow,Pierce,,0
ammo_14,Sleepbone Arrow,Arrow whittled from animal bones. The tip is daubed with a water lily tincture. Afflicts targets with sleep. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sleepbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Confers Sleep status ailment (84),0
ammo_15,Bone Bolt,"Bolt carved from a thin animal bone. Craftable item. Though the tip is certainly sharp, it does not fly particularly true.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_16,Firebone Bolt,Bolt carved from animal bone. The tip is set alight before firing. Deals fire damage. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/firebone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_17,Lordsworn's Bolt,"Well-crafted bolt with an illustrious design, wielded by regulars of a lord's army. Deals more damage by its commonplace cousin.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/lordswordn_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_18,Ballista Bolt,Greatbolt as large as a spear for use with Hand Ballista.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ballista_bolt_elden_ring_wiki_guide_200px.png,Greatbolt,Pierce,,0
ammo_19,Fire Arrow,Arrow with the tip set alight. Deals fire damage.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_20,Perfumer's Bolt,"Bolt created with perfumer techniques. Used by nobles' guards and the like. The point of impact explodes with sparks, dealing fire damage.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumers_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_21,Flaming Bolt,Bolt with a fiercely burned tip. Deals powerful fire damage. Used by survivors of Radahn's army to stave off the scarlet rot.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flaming_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_22,Radahn's Spear,Greatarrows used by the General Radahns during the festival of combat. These are in fact the many spears with which he was stabbed by the Cleanrot Knights. Imbued with Radahn's gravitational power.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahns_spear_elden_ring_wiki_guide_200px.png,Greatarrow,Pierce,,0
ammo_23,Great Arrow,A greatarrow as large as a spear for use with greatbows. Used by archers of monstrous strength employed by a lord's army.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_arrow_elden_ring_wiki_guide_200px.png,Greatarrow,Pierce,,0
ammo_24,Dwelling Arrow,Arrow in which the spirits of small animals are thought to dwell. Deals magic damage.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dwelling_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_25,Black-Key Bolt,"Bolts used in Crepus' Black-Key Crossbow, an assassin's tool of exquisite craftmanship. The intricate spiral tip bores deep, injecting scarlet rot far into the flesh of its target.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/black-key_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,Causes scarlet rot buildup (60),0
