id,name,description,image,type,weight,special_effect,how_to_acquire,in_game_section,dlc
armor_0,Dane's Hat,"The sun-faded and lightly soiled hat of Dryleaf Dane. Worn low over the eyes, it obscures the wearer's vision. Meeting the gaze of another can overcome the senses, often leading to the downfall of those who would walk the noble and solitary seekers' path.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/danes_hat_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,2.2,,This Helm is obtained as a drop upon defeating Dryleaf Dane. [Elden Ring Shadow of the Erdtree Interactive Map],6,1
armor_1,Gaius's Helm,The black iron helm of Commander Gaius. Part of an armor set patterned after fallen seeds. Gaius was the most senior disciple of the same Alabaster Lord who taught Radahn and Gaea gravitational technique.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gaiuss_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,8.6,,"Purchased from the Enia at the Roundtable Hold, after defeating Commander Gaius.",12,1
armor_2,Oathseeker Knight Helm,"An Oathseeker Knight helm. Black with gold ornamentation. These knights set off on quests of discovery, hoping to find by themselves an oath of their own choosing to serve in perfect, lifelong devotion.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/oathseeker_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,4.4,,"Found inside a hanging body, just outside the Church of Benediction. It contains the whole set: Oathseeker Knight Greaves, Oathseeker Knight Gauntlets, Oathseeker Knight Armor, and Oathseeker Knight Helm. It also contains Pata weapon. [See Shadow of the Erdtree Map]",2,1
armor_3,Verdigris Helm,Helm made from an unusual metal known as verdigris. Verdigris is said to be the gift of an outer god. Possessed of an enormously hefty yet supple strength thanks to its rusted nature.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/verdigris_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,11.1,,Complete Moore's questline,19,1
armor_4,Pelt of Ralva,"The pelt of Ralva the Great Red Bear, worn upon the head without modification. Enhances incantations of what is jokingly called ""Bear Communion."" This untreated hide, won at the end of a bloody bout, is just the thing to make a wild bear out of a warrior.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/pelt_of_ralva_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.6,"Enhances incantations of ""Bear Communion"" by 15%.","This is a helmet type of armor that can be obtained after defeating Ralva the Great Red Bear. It is known to enhance incantations of what is jokingly called ""Bear Communion."" [See Shadow of the Erdtree Map]",6,1
armor_5,Fang Helm,"Helm of Red Bear, whose name is lost to madness. The cheek guards are shaped after lion fangs. Perhaps his fascination with the untamed strength of the wild stemmed from his past as a Redmane.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/fang_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,2.7,,Armor piece drops upon defeating the Red Bear located at the Northern Nameless Mausoleum. [See Shadow of the Erdtree Map],4,1
armor_6,Thiollier's Mask,"A mask upon which is carved a tranquil sleeping face. The silver hair is arranged in the same style as St. Trina's, increasing arcane. Just once, Thiollier was granted the sweet repose of velvety sleep. The remainder of his days would be spent attempting to recapture it.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/thiolliers_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.8,Increases Arcane +3,"Summon Thiollier during the battle at the end of his questline, then loot his body in the boss arena after the fight",19,1
armor_7,High Priest Hat,"The hat of Count Ymir, High Priest. The circular design at the top represents the Greater Will and its lightless abyss, imparting increased intelligence and arcane to the wearer. Though Count Ymir instructed Rellana in the sorcerous arts, he abandoned his allegiance to the moon. ""It was merely the closest of the celestial bodies. Nothing more.""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/high_priest_hat_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,1.7,Increases Intelligence +1 and Arcane +1,"Dropped by Count Ymir, Mother of Fingers, who can be found in the Cathedral of Manus Metyr after interacting with the throne, you can only find Count Ymir there after you have defeated Metyr, Mother of Fingers. [Elden Ring Shadow of the Erdtree Map]",6,1
armor_8,Caterpillar Mask,"Grotesque mask constructed from countless solidified caterpillars. A ritual implement of the greater potentates of Bonny Village. Used to ward off thoughts of impurity, doubt, temptation, and other wickednesses one is vulnerable to while absorbed in divine ritual.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/caterpillar_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,1.4,,Complete Hornsent quest.,19,1
armor_9,Dancer's Hood,"Bright-red hood of the Ranah dancers. Enhances the power of dancing attacks. The dance of Ranah is one of burning passion, and the most passionate dancers never allow their fiery dance to end, losing even their names as they dance on. To see the passion fade is to see the dancer's flame extinguished.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/dancers_hood_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,1.0,Enhances the power of dancing attacks by 2.5%.,Dropped by defeating Dancer of Ranah at the Southern Nameless Mausoleum [Elden Ring Shadow of the Erdtree Interactive Map],9,1
