id,attribute_type,attribute_name,attribute_value
armor_0,damage_negation,Physical,1.8
armor_0,damage_negation,VS Strike,2.3
armor_0,damage_negation,VS Slash,1.4
armor_0,damage_negation,VS Pierce,1.4
armor_0,damage_negation,Magic,5.0
armor_0,damage_negation,Fire,4.2
armor_0,damage_negation,Lightning,4.5
armor_0,damage_negation,Holy,5.0
armor_0,resistance,Immunity,16.0
armor_0,resistance,Robustness,11.0
armor_0,resistance,Focus,33.0
armor_0,resistance,Vitality,31.0
armor_0,resistance,Poise,3.0
armor_1,damage_negation,Physical,6.1
armor_1,damage_negation,VS Strike,5.6
armor_1,damage_negation,VS Slash,7.2
armor_1,damage_negation,VS Pierce,7.0
armor_1,damage_negation,Magic,5.0
armor_1,damage_negation,Fire,4.9
armor_1,damage_negation,Lightning,4.9
armor_1,damage_negation,Holy,4.9
armor_1,resistance,Immunity,29.0
armor_1,resistance,Robustness,35.0
armor_1,resistance,Focus,23.0
armor_1,resistance,Vitality,23.0
armor_1,resistance,Poise,12.0
armor_2,damage_negation,Physical,4.4
armor_2,damage_negation,VS Strike,3.8
armor_2,damage_negation,VS Slash,4.2
armor_2,damage_negation,VS Pierce,4.0
armor_2,damage_negation,Magic,3.6
armor_2,damage_negation,Fire,3.4
armor_2,damage_negation,Lightning,2.3
armor_2,damage_negation,Holy,3.4
armor_2,resistance,Immunity,12.0
armor_2,resistance,Robustness,21.0
armor_2,resistance,Focus,10.0
armor_2,resistance,Vitality,9.0
armor_2,resistance,Poise,7.0
armor_3,damage_negation,Physical,7.5
armor_3,damage_negation,VS Strike,6.4
armor_3,damage_negation,VS Slash,7.2
armor_3,damage_negation,VS Pierce,6.8
armor_3,damage_negation,Magic,4.8
armor_3,damage_negation,Fire,4.7
armor_3,damage_negation,Lightning,5.2
armor_3,damage_negation,Holy,4.7
armor_3,resistance,Immunity,39.0
armor_3,resistance,Robustness,46.0
armor_3,resistance,Focus,15.0
armor_3,resistance,Vitality,22.0
armor_3,resistance,Poise,15.0
armor_4,damage_negation,Physical,3.1
armor_4,damage_negation,VS Strike,3.4
armor_4,damage_negation,VS Slash,3.1
armor_4,damage_negation,VS Pierce,3.1
armor_4,damage_negation,Magic,4.2
armor_4,damage_negation,Fire,4.0
armor_4,damage_negation,Lightning,4.5
armor_4,damage_negation,Holy,4.0
armor_4,resistance,Immunity,27.0
armor_4,resistance,Robustness,23.0
armor_4,resistance,Focus,22.0
armor_4,resistance,Vitality,22.0
armor_4,resistance,Poise,5.0
armor_5,damage_negation,Physical,2.3
armor_5,damage_negation,VS Strike,2.5
armor_5,damage_negation,VS Slash,2.3
armor_5,damage_negation,VS Pierce,2.3
armor_5,damage_negation,Magic,3.6
armor_5,damage_negation,Fire,3.4
armor_5,damage_negation,Lightning,4.0
armor_5,damage_negation,Holy,3.4
armor_5,resistance,Immunity,23.0
armor_5,resistance,Robustness,18.0
armor_5,resistance,Focus,16.0
armor_5,resistance,Vitality,16.0
armor_5,resistance,Poise,4.0
armor_6,damage_negation,Physical,4.4
armor_6,damage_negation,VS Strike,3.4
armor_6,damage_negation,VS Slash,4.0
armor_6,damage_negation,VS Pierce,3.8
armor_6,damage_negation,Magic,2.3
armor_6,damage_negation,Fire,3.1
armor_6,damage_negation,Lightning,2.3
armor_6,damage_negation,Holy,3.1
armor_6,resistance,Immunity,15.0
armor_6,resistance,Robustness,16.0
armor_6,resistance,Focus,11.0
armor_6,resistance,Vitality,0.0
armor_6,resistance,Poise,6.0
armor_7,damage_negation,Physical,1.8
armor_7,damage_negation,VS Strike,2.1
armor_7,damage_negation,VS Slash,1.4
armor_7,damage_negation,VS Pierce,0.9
armor_7,damage_negation,Magic,4.6
armor_7,damage_negation,Fire,4.5
armor_7,damage_negation,Lightning,4.4
armor_7,damage_negation,Holy,4.5
armor_7,resistance,Immunity,18.0
armor_7,resistance,Robustness,10.0
armor_7,resistance,Focus,27.0
armor_7,resistance,Vitality,33.0
armor_7,resistance,Poise,3.0
armor_8,damage_negation,Physical,1.8
armor_8,damage_negation,VS Strike,1.4
armor_8,damage_negation,VS Slash,1.4
armor_8,damage_negation,VS Pierce,0.9
armor_8,damage_negation,Magic,4.5
armor_8,damage_negation,Fire,3.8
armor_8,damage_negation,Lightning,4.2
armor_8,damage_negation,Holy,4.6
armor_8,resistance,Immunity,16.0
armor_8,resistance,Robustness,9.0
armor_8,resistance,Focus,45.0
armor_8,resistance,Vitality,25.0
armor_8,resistance,Poise,2.0
armor_9,damage_negation,Physical,0.9
armor_9,damage_negation,VS Strike,0.2
armor_9,damage_negation,VS Slash,1.8
armor_9,damage_negation,VS Pierce,0.2
armor_9,damage_negation,Magic,4.4
armor_9,damage_negation,Fire,4.4
armor_9,damage_negation,Lightning,4.0
armor_9,damage_negation,Holy,4.2
armor_9,resistance,Immunity,15.0
armor_9,resistance,Robustness,10.0
armor_9,resistance,Focus,24.0
armor_9,resistance,Vitality,26.0
armor_9,resistance,Poise,1.0
armor_10,damage_negation,Physical,2.5
armor_10,damage_negation,VS Strike,2.5
armor_10,damage_negation,VS Slash,2.8
armor_10,damage_negation,VS Pierce,2.8
armor_10,damage_negation,Magic,4.4
armor_10,damage_negation,Fire,3.4
armor_10,damage_negation,Lightning,3.4
armor_10,damage_negation,Holy,4.5
armor_10,resistance,Immunity,23.0
armor_10,resistance,Robustness,14.0
armor_10,resistance,Focus,20.0
armor_10,resistance,Vitality,20.0
armor_10,resistance,Poise,4.0
