id,attribute_type,attribute_name,attribute_value
class_0,character_stats,Level,7
class_0,character_stats,Vigor,14
class_0,character_stats,Mind,9
class_0,character_stats,Endurance,12
class_0,character_stats,Strength,16
class_0,character_stats,Dexterity,9
class_0,character_stats,Intelligence,7
class_0,character_stats,Faith,8
class_0,character_stats,Arcane,11
class_1,character_stats,Level,8
class_1,character_stats,Vigor,11
class_1,character_stats,Mind,12
class_1,character_stats,Endurance,11
class_1,character_stats,Strength,10
class_1,character_stats,Dexterity,16
class_1,character_stats,Intelligence,10
class_1,character_stats,Faith,8
class_1,character_stats,Arcane,9
class_2,character_stats,Level,6
class_2,character_stats,Vigor,9
class_2,character_stats,Mind,15
class_2,character_stats,Endurance,9
class_2,character_stats,Strength,8
class_2,character_stats,Dexterity,12
class_2,character_stats,Intelligence,16
class_2,character_stats,Faith,7
class_2,character_stats,Arcane,9
class_3,character_stats,Level,5
class_3,character_stats,Vigor,10
class_3,character_stats,Mind,11
class_3,character_stats,Endurance,10
class_3,character_stats,Strength,9
class_3,character_stats,Dexterity,13
class_3,character_stats,Intelligence,9
class_3,character_stats,Faith,8
class_3,character_stats,Arcane,14
class_4,character_stats,Level,9
class_4,character_stats,Vigor,11
class_4,character_stats,Mind,12
class_4,character_stats,Endurance,11
class_4,character_stats,Strength,11
class_4,character_stats,Dexterity,14
class_4,character_stats,Intelligence,14
class_4,character_stats,Faith,6
class_4,character_stats,Arcane,9
class_5,character_stats,Level,9
class_5,character_stats,Vigor,15
class_5,character_stats,Mind,10
class_5,character_stats,Endurance,11
class_5,character_stats,Strength,14
class_5,character_stats,Dexterity,13
class_5,character_stats,Intelligence,9
class_5,character_stats,Faith,9
class_5,character_stats,Arcane,7
class_6,character_stats,Level,10
class_6,character_stats,Vigor,10
class_6,character_stats,Mind,13
class_6,character_stats,Endurance,10
class_6,character_stats,Strength,12
class_6,character_stats,Dexterity,12
class_6,character_stats,Intelligence,9
class_6,character_stats,Faith,14
class_6,character_stats,Arcane,9
class_7,character_stats,Level,1
class_7,character_stats,Vigor,10
class_7,character_stats,Mind,10
class_7,character_stats,Endurance,10
class_7,character_stats,Strength,10
class_7,character_stats,Dexterity,10
class_7,character_stats,Intelligence,10
class_7,character_stats,Faith,10
class_7,character_stats,Arcane,10
class_8,character_stats,Level,7
class_8,character_stats,Vigor,10
class_8,character_stats,Mind,14
class_8,character_stats,Endurance,8
class_8,character_stats,Strength,11
class_8,character_stats,Dexterity,10
class_8,character_stats,Intelligence,7
class_8,character_stats,Faith,16
class_8,character_stats,Arcane,10
class_9,character_stats,Level,9
class_9,character_stats,Vigor,12
class_9,character_stats,Mind,11
class_9,character_stats,Endurance,13
class_9,character_stats,Strength,12
class_9,character_stats,Dexterity,15
class_9,character_stats,Intelligence,9
class_9,character_stats,Faith,8
class_9,character_stats,Arcane,8
class_10,character_stats,Level,8
class_10,character_stats,Vigor,11
class_10,character_stats,Mind,12
class_10,character_stats,Endurance,11
class_10,character_stats,Strength,10
class_10,character_stats,Dexterity,16
class_10,character_stats,Intelligence,10
class_10,character_stats,Faith,8
class_10,character_stats,Arcane,9
class_11,character_stats,Level,5
class_11,character_stats,Vigor,10
class_11,character_stats,Mind,13
class_11,character_stats,Endurance,11
class_11,character_stats,Strength,15
class_11,character_stats,Dexterity,16
class_11,character_stats,Intelligence,5
class_11,character_stats,Faith,5
class_11,character_stats,Arcane,5
class_12,character_stats,Level,5
class_12,character_stats,Vigor,14
class_12,character_stats,Mind,11
class_12,character_stats,Endurance,12
class_12,character_stats,Strength,16
class_12,character_stats,Dexterity,7
class_12,character_stats,Intelligence,9
class_12,character_stats,Faith,6
class_12,character_stats,Arcane,6
class_13,character_stats,Level,5
class_13,character_stats,Vigor,13
class_13,character_stats,Mind,9
class_13,character_stats,Endurance,12
class_13,character_stats,Strength,14
class_13,character_stats,Dexterity,5
class_13,character_stats,Intelligence,15
class_13,character_stats,Faith,11
class_13,character_stats,Arcane,11
