id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
0,Dane's Hat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/danes_hat_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The sun-faded and lightly soiled hat of Dryleaf Dane. Worn low over the eyes, it obscures the wearer's vision. Meeting the gaze of another can overcome the senses, often leading to the downfall of those who would walk the noble and solitary seekers' path.",helm,"[{'Physical': '1.8', 'VS Strike': '2.3', 'VS Slash': '1.4', 'VS Pierce': '1.4', 'Magic': '5.0', 'Fire': '4.2', 'Lightning': '4.5', 'Holy': '5.0'}]","[{'Immunity': '16', 'Robustness': '11', 'Focus': '33', 'Vitality': '31', 'Poise': '3'}]",2.2,,This Helm is obtained as a drop upon defeating Dryleaf Dane. [Elden Ring Shadow of the Erdtree Interactive Map],6,1
1,Gaius's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gaiuss_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,The black iron helm of Commander Gaius. Part of an armor set patterned after fallen seeds. Gaius was the most senior disciple of the same Alabaster Lord who taught Radahn and Gaea gravitational technique.,helm,"[{'Physical': '6.1', 'VS Strike': '5.6', 'VS Slash': '7.2', 'VS Pierce': '7.0', 'Magic': '5.0', 'Fire': '4.9', 'Lightning': '4.9', 'Holy': '4.9'}]","[{'Immunity': '29', 'Robustness': '35', 'Focus': '23', 'Vitality': '23', 'Poise': '12'}]",8.6,,"Purchased from the Enia at the Roundtable Hold, after defeating Commander Gaius.",12,1
2,Oathseeker Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/oathseeker_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"An Oathseeker Knight helm. Black with gold ornamentation. These knights set off on quests of discovery, hoping to find by themselves an oath of their own choosing to serve in perfect, lifelong devotion.",helm,"[{'Physical': '4.4', 'VS Strike': '3.8', 'VS Slash': '4.2', 'VS Pierce': '4.0', 'Magic': '3.6', 'Fire': '3.4', 'Lightning': '2.3', 'Holy': '3.4'}]","[{'Immunity': '12', 'Robustness': '21', 'Focus': '10', 'Vitality': '9', 'Poise': '7'}]",4.4,,"Found inside a hanging body, just outside the Church of Benediction. It contains the whole set: Oathseeker Knight Greaves, Oathseeker Knight Gauntlets, Oathseeker Knight Armor, and Oathseeker Knight Helm. It also contains Pata weapon. [See Shadow of the Erdtree Map]",2,1
3,Verdigris Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/verdigris_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Helm made from an unusual metal known as verdigris. Verdigris is said to be the gift of an outer god. Possessed of an enormously hefty yet supple strength thanks to its rusted nature.,helm,"[{'Physical': '7.5', 'VS Strike': '6.4', 'VS Slash': '7.2', 'VS Pierce': '6.8', 'Magic': '4.8', 'Fire': '4.7', 'Lightning': '5.2', 'Holy': '4.7'}]","[{'Immunity': '39', 'Robustness': '46', 'Focus': '15', 'Vitality': '22', 'Poise': '15'}]",11.1,,Complete Moore's questline,19,1
4,Pelt of Ralva,http://eldenring.wiki.fextralife.com/file/Elden-Ring/pelt_of_ralva_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The pelt of Ralva the Great Red Bear, worn upon the head without modification. Enhances incantations of what is jokingly called ""Bear Communion."" This untreated hide, won at the end of a bloody bout, is just the thing to make a wild bear out of a warrior.",helm,"[{'Physical': '3.1', 'VS Strike': '3.4', 'VS Slash': '3.1', 'VS Pierce': '3.1', 'Magic': '4.2', 'Fire': '4.0', 'Lightning': '4.5', 'Holy': '4.0'}]","[{'Immunity': '27', 'Robustness': '23', 'Focus': '22', 'Vitality': '22', 'Poise': '5'}]",3.6,"Enhances incantations of ""Bear Communion"" by 15%.","This is a helmet type of armor that can be obtained after defeating Ralva the Great Red Bear. It is known to enhance incantations of what is jokingly called ""Bear Communion."" [See Shadow of the Erdtree Map]",6,1
5,Fang Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fang_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of Red Bear, whose name is lost to madness. The cheek guards are shaped after lion fangs. Perhaps his fascination with the untamed strength of the wild stemmed from his past as a Redmane.",helm,"[{'Physical': '2.3', 'VS Strike': '2.5', 'VS Slash': '2.3', 'VS Pierce': '2.3', 'Magic': '3.6', 'Fire': '3.4', 'Lightning': '4.0', 'Holy': '3.4'}]","[{'Immunity': '23', 'Robustness': '18', 'Focus': '16', 'Vitality': '16', 'Poise': '4'}]",2.7,,Armor piece drops upon defeating the Red Bear located at the Northern Nameless Mausoleum. [See Shadow of the Erdtree Map],4,1
6,Thiollier's Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thiolliers_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A mask upon which is carved a tranquil sleeping face. The silver hair is arranged in the same style as St. Trina's, increasing arcane. Just once, Thiollier was granted the sweet repose of velvety sleep. The remainder of his days would be spent attempting to recapture it.",helm,"[{'Physical': '4.4', 'VS Strike': '3.4', 'VS Slash': '4.0', 'VS Pierce': '3.8', 'Magic': '2.3', 'Fire': '3.1', 'Lightning': '2.3', 'Holy': '3.1'}]","[{'Immunity': '15', 'Robustness': '16', 'Focus': '11', 'Vitality': '0', 'Poise': '6'}]",3.8,Increases Arcane +3,"Summon Thiollier during the battle at the end of his questline, then loot his body in the boss arena after the fight",19,1
7,High Priest Hat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/high_priest_hat_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The hat of Count Ymir, High Priest. The circular design at the top represents the Greater Will and its lightless abyss, imparting increased intelligence and arcane to the wearer. Though Count Ymir instructed Rellana in the sorcerous arts, he abandoned his allegiance to the moon. ""It was merely the closest of the celestial bodies. Nothing more.""",helm,"[{'Physical': '1.8', 'VS Strike': '2.1', 'VS Slash': '1.4', 'VS Pierce': '0.9', 'Magic': '4.6', 'Fire': '4.5', 'Lightning': '4.4', 'Holy': '4.5'}]","[{'Immunity': '18', 'Robustness': '10', 'Focus': '27', 'Vitality': '33', 'Poise': '3'}]",1.7,Increases Intelligence +1 and Arcane +1,"Dropped by Count Ymir, Mother of Fingers, who can be found in the Cathedral of Manus Metyr after interacting with the throne, you can only find Count Ymir there after you have defeated Metyr, Mother of Fingers. [Elden Ring Shadow of the Erdtree Map]",6,1
8,Caterpillar Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/caterpillar_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Grotesque mask constructed from countless solidified caterpillars. A ritual implement of the greater potentates of Bonny Village. Used to ward off thoughts of impurity, doubt, temptation, and other wickednesses one is vulnerable to while absorbed in divine ritual.",helm,"[{'Physical': '1.8', 'VS Strike': '1.4', 'VS Slash': '1.4', 'VS Pierce': '0.9', 'Magic': '4.5', 'Fire': '3.8', 'Lightning': '4.2', 'Holy': '4.6'}]","[{'Immunity': '16', 'Robustness': '9', 'Focus': '45', 'Vitality': '25', 'Poise': '2'}]",1.4,,Complete Hornsent quest.,19,1
9,Dancer's Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dancers_hood_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Bright-red hood of the Ranah dancers. Enhances the power of dancing attacks. The dance of Ranah is one of burning passion, and the most passionate dancers never allow their fiery dance to end, losing even their names as they dance on. To see the passion fade is to see the dancer's flame extinguished.",helm,"[{'Physical': '0.9', 'VS Strike': '0.2', 'VS Slash': '1.8', 'VS Pierce': '0.2', 'Magic': '4.4', 'Fire': '4.4', 'Lightning': '4.0', 'Holy': '4.2'}]","[{'Immunity': '15', 'Robustness': '10', 'Focus': '24', 'Vitality': '26', 'Poise': '1'}]",1,Enhances the power of dancing attacks by 2.5%.,Dropped by defeating Dancer of Ranah at the Southern Nameless Mausoleum [Elden Ring Shadow of the Erdtree Interactive Map],9,1
